speciesType	tissueType	cellName	geneSymbol	ensemblID
Homo_sapiens	adipose tissue(UBERON_0001013)	Mesenchymal stem cell(CL_0000134)	PTPRC,SOX2,NANOG,ANPEP,POU5F1,THY1,ALCAM,TFRC,LEP,PECAM1,PODXL,MME,ITGAV,CD19,ERBB2,UCP1,ITGA4,TNFRSF1A,NGFR,NT5E,VCAM1,CD70,CASP3,ENG,KIT,PPARGC1A,PDGFRB,CD34,ITGB1,NCAM1,ITGA5,CD14,CD44	ENSG00000081237,ENSG00000181449,ENSG00000111704,ENSG00000166825,ENSG00000204531,ENSG00000154096,ENSG00000170017,ENSG00000072274,ENSG00000174697,ENSG00000261371,ENSG00000128567,ENSG00000196549,ENSG00000138448,ENSG00000177455,ENSG00000141736,ENSG00000109424,ENSG00000115232,ENSG00000067182,ENSG00000064300,ENSG00000135318,ENSG00000162692,ENSG00000125726,ENSG00000164305,ENSG00000106991,ENSG00000157404,ENSG00000109819,ENSG00000113721,ENSG00000174059,ENSG00000150093,ENSG00000149294,ENSG00000161638,ENSG00000170458,ENSG00000026508
Homo_sapiens	adipose tissue(UBERON_0001013)	Mesenchymal stromal cell(CL_2000061)	NT5E,THY1,CD34,ALPL,SUSD2,ENG,NGFR,CD44	ENSG00000135318,ENSG00000154096,ENSG00000174059,ENSG00000162551,ENSG00000099994,ENSG00000106991,ENSG00000064300,ENSG00000026508
Homo_sapiens	adipose tissue(UBERON_0001013)	Monocyte(CL_0000576)	PTPRC,CD14	ENSG00000081237,ENSG00000170458
Homo_sapiens	adipose tissue(UBERON_0001013)	Multipotent mesenchymal stroma cell(CL_0000499)	PTPRC,NT5E,THY1,CD34,ENG	ENSG00000081237,ENSG00000135318,ENSG00000154096,ENSG00000174059,ENSG00000106991
Homo_sapiens	adipose tissue(UBERON_0001013)	Natural killer cell(CL_0000623)	KLRD1,NCAM1,KLRK1,FCGR3A,FASLG,NCR1,FCGR3B	ENSG00000134539,ENSG00000149294,ENSG00000213809,ENSG00000203747,ENSG00000117560,ENSG00000189430,ENSG00000162747
Homo_sapiens	adipose tissue(UBERON_0001013)	Neuron(CL_0000540)	MAP2,RBFOX3,TUBB3	ENSG00000078018,ENSG00000167281,ENSG00000258947
Homo_sapiens	adipose tissue(UBERON_0001013)	Pericyte(CL_0000669)	PTPRC,MCAM,CD34,CSPG4,ENG,PECAM1,NGFR	ENSG00000081237,ENSG00000076706,ENSG00000174059,ENSG00000173546,ENSG00000106991,ENSG00000261371,ENSG00000064300
Homo_sapiens	adipose tissue(UBERON_0001013)	Preadipocyte progenitor cell(None)	CD34,PDGFRA	ENSG00000174059,ENSG00000134853
Homo_sapiens	adipose tissue(UBERON_0001013)	Preadipocyte(CL_0002334)	PECAM1,CD36	ENSG00000261371,ENSG00000135218
Homo_sapiens	adipose tissue(UBERON_0001013)	Smooth muscle cell(CL_0000192)	PECAM1,MCAM	ENSG00000261371,ENSG00000076706
Homo_sapiens	adipose tissue(UBERON_0001013)	Stem cell(CL_0000034)	PTPRC,NT5E,THY1,CD34,ITGB1,TP63,ENG,PECAM1,ABCG2,CD44	ENSG00000081237,ENSG00000135318,ENSG00000154096,ENSG00000174059,ENSG00000150093,ENSG00000073282,ENSG00000106991,ENSG00000261371,ENSG00000118777,ENSG00000026508
Homo_sapiens	adipose tissue(UBERON_0001013)	Stromal cell(CL_0000499)	GREM1,NT5E,THY1,ENG,CD44	ENSG00000166923,ENSG00000135318,ENSG00000154096,ENSG00000106991,ENSG00000026508
Homo_sapiens	adipose tissue(UBERON_0001013)	Stromal vascular fraction cell(CL_0000499)	CD34	ENSG00000174059
Homo_sapiens	adrenal gland(UBERON_0002369)	Chromaffin cell(CL_0000166)	NCAM1	ENSG00000149294
Homo_sapiens	adrenal gland(UBERON_0002369)	Definitive zone cell(None)	NCAM1	ENSG00000149294
Homo_sapiens	blood vessel(UBERON_0001981)	Endothelial cell(CL_0000115)	PTPRC,ANPEP,EPOR,IL1R1,TYMP,ANTXR1,ACKR2,SELP,CD151,CD40,S1PR2,ESAM,PDPN,ITGB7,S1PR3,COLEC11,TNFRSF10A,SELE,PECAM1,STAB2,ITGB3,THSD1,LYVE1,ITGB2,PODXL,THSD7A,MCAM,TIE1,CLEC4M,CDH5,EGFL7,ICAM1,SLAMF1,CD248,DCBLD2,FABP6,AGGF1,ECSCR,FLT1,TNFRSF10B,ITGA4,EMCN,CD81,A4GALT,CD160,KLF4,SELL,TNFRSF1A,MRC1,FLT4,COLEC12,VCAM1,THBD,CD93,VEGFA,FABP5,F3,CD300LG,NECTIN2,ENG,IL13RA1,S1PR5,TEK,BSG,ENTPD1,PLXDC1,S1PR4,KDR,CD34,ITGB1,STAB1,TNFRSF1B,ACE,S1PR1,ICAM2,CDH1,PROCR,ITGAM,CD36	ENSG00000081237,ENSG00000166825,ENSG00000187266,ENSG00000115594,ENSG00000025708,ENSG00000169604,ENSG00000144648,ENSG00000174175,ENSG00000177697,ENSG00000101017,ENSG00000267534,ENSG00000149564,ENSG00000162493,ENSG00000139626,ENSG00000213694,ENSG00000118004,ENSG00000104689,ENSG00000007908,ENSG00000261371,ENSG00000136011,ENSG00000259207,ENSG00000136114,ENSG00000133800,ENSG00000160255,ENSG00000128567,ENSG00000005108,ENSG00000076706,ENSG00000066056,ENSG00000104938,ENSG00000179776,ENSG00000172889,ENSG00000090339,ENSG00000117090,ENSG00000174807,ENSG00000057019,ENSG00000170231,ENSG00000164252,ENSG00000249751,ENSG00000102755,ENSG00000120889,ENSG00000115232,ENSG00000164035,ENSG00000110651,ENSG00000128274,ENSG00000117281,ENSG00000136826,ENSG00000188404,ENSG00000067182,ENSG00000260314,ENSG00000037280,ENSG00000158270,ENSG00000162692,ENSG00000178726,ENSG00000125810,ENSG00000112715,ENSG00000164687,ENSG00000117525,ENSG00000161649,ENSG00000130202,ENSG00000106991,ENSG00000131724,ENSG00000180739,ENSG00000120156,ENSG00000172270,ENSG00000138185,ENSG00000161381,ENSG00000125910,ENSG00000128052,ENSG00000174059,ENSG00000150093,ENSG00000010327,ENSG00000028137,ENSG00000159640,ENSG00000170989,ENSG00000108622,ENSG00000039068,ENSG00000101000,ENSG00000169896,ENSG00000135218
Homo_sapiens	blood vessel(UBERON_0001981)	Endothelial progenitor cell(CL_0002619)	PROM1,CD34	ENSG00000007062,ENSG00000174059
Homo_sapiens	blood vessel(UBERON_0001981)	Endothelial stem cell(CL_0000034)	PTPRC,ITGA4,CSF3R,SELL,ITGA6,VCAM1,MCAM,TNFRSF1A,SELP,CD34,ITGB1,TNFRSF1B,ICAM1,ITGA5,ICAM2,ENG,PECAM1,CD14,KIT	ENSG00000081237,ENSG00000115232,ENSG00000119535,ENSG00000188404,ENSG00000091409,ENSG00000162692,ENSG00000076706,ENSG00000067182,ENSG00000174175,ENSG00000174059,ENSG00000150093,ENSG00000028137,ENSG00000090339,ENSG00000161638,ENSG00000108622,ENSG00000106991,ENSG00000261371,ENSG00000170458,ENSG00000157404
Homo_sapiens	blood vessel(UBERON_0001981)	Macrophage(CL_0000235)	CD68	ENSG00000129226
Homo_sapiens	blood vessel(UBERON_0001981)	Mesenchymal stem cell(CL_0000134)	PTPRC,THY1,CD34,ITGB1	ENSG00000081237,ENSG00000154096,ENSG00000174059,ENSG00000150093
Homo_sapiens	blood vessel(UBERON_0001981)	Mesenchymal stromal cell(CL_2000061)	THY1	ENSG00000154096
Homo_sapiens	blood vessel(UBERON_0001981)	Smooth muscle cell(CL_0000192)	ACTA2	ENSG00000107796
Homo_sapiens	blood vessel(UBERON_0001981)	Stem cell(CL_0000034)	SOX2,POU5F1,THY1,TNFRSF8,NES,TFRC,CD34,PROM1,PECAM1,KIT	ENSG00000181449,ENSG00000204531,ENSG00000154096,ENSG00000120949,ENSG00000132688,ENSG00000072274,ENSG00000174059,ENSG00000007062,ENSG00000261371,ENSG00000157404
Homo_sapiens	blood vessel(UBERON_0001981)	T cell(CL_0000084)	CD3D,CD4,CD3G,CD8A,IL2RA,CD3E	ENSG00000167286,ENSG00000010610,ENSG00000160654,ENSG00000153563,ENSG00000134460,ENSG00000198851
Homo_sapiens	blood(UBERON_0000178)	AXL+SIGLEC6+ dendritic cell(CL_0001056)	DAB2,LAX1,SNRNP25,CD22,PLA2G16,PPP1R14A,GNAQ,PTGDS,SUCLA2,CX3CR1,TBC1D9,SIGLEC1,STX18,SLC20A1,ALDH2,TNFSF12,MECR,VASH1,ZEB1,CD300LB,NDRG1,BIN1,RNF141,RUNX2,SOX4,MYH11,ATP2B4,PLAC8,COQ7,BHLHE40,MGLL,CD72,USF2,LTK,ACPP,MED12L,BAIAP2,IRF4,KLF4,SLC4A3,UPK3A,SCN9A,CD5,RNASEL,SLC35C2,THBD,CXCR2,ADAM33,FAM129A,ENTPD7,KLF12,TNNI2,SLC41A2,DPYSL2,CD300LG,HIP1,SIGLEC6,RBL1,TXN,GPR146,S100A10,LGMN,ARHGAP18,MRPS6,CEP95,RAD1,ZNF789,TSEN54,MYO1E,APEX1,ATF5,CTSW,PIM2,CCND3,CDH1,SP4,AXL,CDKN1A,SUSD1	ENSG00000153071,ENSG00000122188,ENSG00000161981,ENSG00000012124,ENSG00000176485,ENSG00000167641,ENSG00000156052,ENSG00000107317,ENSG00000136143,ENSG00000168329,ENSG00000109436,ENSG00000088827,ENSG00000168818,ENSG00000144136,ENSG00000111275,ENSG00000239697,ENSG00000116353,ENSG00000071246,ENSG00000148516,ENSG00000178789,ENSG00000104419,ENSG00000136717,ENSG00000110315,ENSG00000124813,ENSG00000124766,ENSG00000133392,ENSG00000058668,ENSG00000145287,ENSG00000167186,ENSG00000134107,ENSG00000074416,ENSG00000137101,ENSG00000105698,ENSG00000062524,ENSG00000014257,ENSG00000144893,ENSG00000175866,ENSG00000137265,ENSG00000136826,ENSG00000114923,ENSG00000100373,ENSG00000169432,ENSG00000110448,ENSG00000135828,ENSG00000080189,ENSG00000178726,ENSG00000180871,ENSG00000149451,ENSG00000135842,ENSG00000198018,ENSG00000118922,ENSG00000130598,ENSG00000136052,ENSG00000092964,ENSG00000161649,ENSG00000127946,ENSG00000105492,ENSG00000080839,ENSG00000136810,ENSG00000164849,ENSG00000197747,ENSG00000100600,ENSG00000146376,ENSG00000243927,ENSG00000258890,ENSG00000113456,ENSG00000198556,ENSG00000182173,ENSG00000157483,ENSG00000100823,ENSG00000169136,ENSG00000172543,ENSG00000102096,ENSG00000112576,ENSG00000039068,ENSG00000105866,ENSG00000167601,ENSG00000124762,ENSG00000106868
Homo_sapiens	blood(UBERON_0000178)	Abnormal plasma cell(CL_0000236)	CD38,SDC1,NCAM1	ENSG00000004468,ENSG00000115884,ENSG00000149294
Homo_sapiens	blood(UBERON_0000178)	Activated B cell(CL_0000236)	CD5,TAGLN2	ENSG00000110448,ENSG00000158710
Homo_sapiens	blood(UBERON_0000178)	Activated CD4+ T cell(CL_0001043)	PTPRC,CD4,CXCR3,CD19,CD38,IL2RA,ITGB1,TFRC,CCR6,CD69,CD14	ENSG00000081237,ENSG00000010610,ENSG00000186810,ENSG00000177455,ENSG00000004468,ENSG00000134460,ENSG00000150093,ENSG00000072274,ENSG00000112486,ENSG00000110848,ENSG00000170458
Homo_sapiens	blood(UBERON_0000178)	Angiogenic T cell(CL_0000084)	CD3D,CD3G,CXCR4,PECAM1,CD3E	ENSG00000167286,ENSG00000160654,ENSG00000121966,ENSG00000261371,ENSG00000198851
Homo_sapiens	blood(UBERON_0000178)	Atypical memory B cell(CL_0000787)	MS4A1,CD27,CR2,MME,CD19	ENSG00000156738,ENSG00000139193,ENSG00000117322,ENSG00000196549,ENSG00000177455
Homo_sapiens	blood(UBERON_0000178)	B cell(CL_0000236)	CD27,PTPRC,MS4A1,CD24,CR2,CD28,TFRC,CD86,AICDA,ZAP70,TNFSF13B,MME,CD19,CD79B,CD37,CD5,CD40LG,CD38,CD79A,BLNK,CD74	ENSG00000139193,ENSG00000081237,ENSG00000156738,ENSG00000272398,ENSG00000117322,ENSG00000178562,ENSG00000072274,ENSG00000114013,ENSG00000111732,ENSG00000115085,ENSG00000102524,ENSG00000196549,ENSG00000177455,ENSG00000007312,ENSG00000104894,ENSG00000110448,ENSG00000102245,ENSG00000004468,ENSG00000105369,ENSG00000095585,ENSG00000019582
Homo_sapiens	blood(UBERON_0000178)	Basophil(CL_0000767)	PTPRC,SMAD1,FUT4,IL3RA,CD19,CD22,ITGAM,CD63,CCR3,CD69,KIT,ENPP3	ENSG00000081237,ENSG00000170365,ENSG00000196371,ENSG00000185291,ENSG00000177455,ENSG00000012124,ENSG00000169896,ENSG00000135404,ENSG00000183625,ENSG00000110848,ENSG00000157404,ENSG00000154269
Homo_sapiens	blood(UBERON_0000178)	CD14+ endothelial progenitor cell(None)	CD14,KDR	ENSG00000170458,ENSG00000128052
Homo_sapiens	blood(UBERON_0000178)	CD14++CD16- monocyte(CL_0002057)	FCGR3A,CD14,FCGR3B	ENSG00000203747,ENSG00000170458,ENSG00000162747
Homo_sapiens	blood(UBERON_0000178)	CD14+CD16+ monocyte(CL_0002397)	CD68,S100A12,FCGR3A,CD14,FCGR3B	ENSG00000129226,ENSG00000163221,ENSG00000203747,ENSG00000170458,ENSG00000162747
Homo_sapiens	blood(UBERON_0000178)	CD141+CLEC9A+ dendritic cell(CL_0002394)	VAC14,ASB2,HLA-DPA1,DST,IDO1,LRRC18,RAB11FIP4,TLR10,HLA-DOB,GSTM4,DPP4,FAM135A,IDO2,HLA-DQB1,APOL3,TRERF1,PDLIM1,THBD,NCALD,WDFY4,HAVCR2,FUCA1,BCL6,ENPP1,APOL1,CPVL,ANPEP,DNASE1L3,KIF16B,SNX3,ID2,LIMA1,HLA-DPB1,ELOVL5,DSE,NAV1,CD59,ASAP1,CPNE3,SLC24A4,LGALS2,PQLC2,CD93,CD38,FLT3,SLAMF7,LACC1,PPA1,PTK2,RGS10,NET1,CTTNBP2NL,FAM160A2,FNBP1,DENND1B,CADM1,CYP2E1,PPM1H,PAFAH1B3,CYB5R3,EHD4,TGM2,CD40,PIK3CB,SNX22,CCND1,PDLIM7,KCNK6,PLCD1,NDRG2,FCRL6,CLEC9A,GYPC,PRELID2,PPM1M,PDE4DIP,SLAMF8,TMEM14A,ADAM28,ACSS2,INF2,ACTN1,BTLA,DHRS3,SCARF1,B3GNT7,CLNK,CSRP1,DUSP2,LMNA,OSBPL3,ZNF366,SLC9A9,DUSP10,PALM2,STX3,XCR1,BATF3,CAMK2D,VAV3	ENSG00000103043,ENSG00000100628,ENSG00000231389,ENSG00000151914,ENSG00000131203,ENSG00000165383,ENSG00000131242,ENSG00000174123,ENSG00000241106,ENSG00000168765,ENSG00000197635,ENSG00000082269,ENSG00000188676,ENSG00000179344,ENSG00000128284,ENSG00000124496,ENSG00000107438,ENSG00000178726,ENSG00000104490,ENSG00000128815,ENSG00000135077,ENSG00000179163,ENSG00000113916,ENSG00000197594,ENSG00000100342,ENSG00000106066,ENSG00000166825,ENSG00000163687,ENSG00000089177,ENSG00000112335,ENSG00000115738,ENSG00000050405,ENSG00000223865,ENSG00000012660,ENSG00000111817,ENSG00000134369,ENSG00000085063,ENSG00000153317,ENSG00000085719,ENSG00000140090,ENSG00000100079,ENSG00000040487,ENSG00000125810,ENSG00000004468,ENSG00000122025,ENSG00000026751,ENSG00000179630,ENSG00000180817,ENSG00000169398,ENSG00000148908,ENSG00000173848,ENSG00000143079,ENSG00000051009,ENSG00000187239,ENSG00000213047,ENSG00000182985,ENSG00000130649,ENSG00000111110,ENSG00000079462,ENSG00000100243,ENSG00000103966,ENSG00000198959,ENSG00000101017,ENSG00000051382,ENSG00000157734,ENSG00000110092,ENSG00000196923,ENSG00000099337,ENSG00000187091,ENSG00000165795,ENSG00000181036,ENSG00000197992,ENSG00000136732,ENSG00000186314,ENSG00000164088,ENSG00000178104,ENSG00000158714,ENSG00000096092,ENSG00000042980,ENSG00000131069,ENSG00000203485,ENSG00000072110,ENSG00000186265,ENSG00000162496,ENSG00000074660,ENSG00000156966,ENSG00000109684,ENSG00000159176,ENSG00000158050,ENSG00000160789,ENSG00000070882,ENSG00000178175,ENSG00000181804,ENSG00000143507,ENSG00000243444,ENSG00000166900,ENSG00000173578,ENSG00000123685,ENSG00000145349,ENSG00000134215
Homo_sapiens	blood(UBERON_0000178)	CD16+ dendritic cell(CL_0002532)	FUT4,IL3RA,CEACAM8,CD33,FCGR3A,CD14,ITGAX,ITGAM,FCGR3B	ENSG00000196371,ENSG00000185291,ENSG00000124469,ENSG00000105383,ENSG00000203747,ENSG00000170458,ENSG00000140678,ENSG00000169896,ENSG00000162747
Homo_sapiens	blood(UBERON_0000178)	CD1C+_A dendritic cell(CL_0001056)	PTGS1,PTAFR,CD1E,PER1,CD33,CREB5,PEA15,CLEC10A,ETS2,SMN1,MBOAT7,CLEC4A,CD2,AREG,FCER1A,SLC2A3,CLIC2,LPCAT1,NOD2,PID1,CACNA2D3,CD1D,CD1C,ENTPD1,CLEC17A,FCGR2B,ITGA5,NR4A2,CCR6,ADAM8	ENSG00000095303,ENSG00000169403,ENSG00000158488,ENSG00000179094,ENSG00000105383,ENSG00000146592,ENSG00000162734,ENSG00000132514,ENSG00000157557,ENSG00000172062,ENSG00000125505,ENSG00000111729,ENSG00000116824,ENSG00000109321,ENSG00000179639,ENSG00000059804,ENSG00000155962,ENSG00000153395,ENSG00000167207,ENSG00000153823,ENSG00000157445,ENSG00000158473,ENSG00000158481,ENSG00000138185,ENSG00000187912,ENSG00000072694,ENSG00000161638,ENSG00000153234,ENSG00000112486,ENSG00000151651
Homo_sapiens	blood(UBERON_0000178)	CD1C+_B dendritic cell(CL_0001056)	CES1,CSTA,LAT2,PTAFR,RAB3D,S100A8,HNMT,NAIP,TMEM173,CREB5,TREM1,MPP7,RNASE2,CLEC10A,VCAN,NLRP3,FPR1,EREG,F13A1,HBEGF,MNDA,S100A12,LYZ,PLBD1,FCER1A,AOAH,MICAL2,ADAM15,MGST1,BST1,IL27RA,FCN1,CSF3R,RAB27A,NOD2,PID1,LMNA,CD1D,IL13RA1,NLRP12,MTMR11,ASGR1,RETN,IL1RN,IL1B,CD163,ITGA5,ANXA1,NR4A2,S100A9,CD14,NFE2,SLC2A3,CD36	ENSG00000198848,ENSG00000121552,ENSG00000086730,ENSG00000169403,ENSG00000105514,ENSG00000143546,ENSG00000150540,ENSG00000249437,ENSG00000184584,ENSG00000146592,ENSG00000124731,ENSG00000150054,ENSG00000169385,ENSG00000132514,ENSG00000038427,ENSG00000162711,ENSG00000171051,ENSG00000124882,ENSG00000124491,ENSG00000113070,ENSG00000163563,ENSG00000163221,ENSG00000090382,ENSG00000121316,ENSG00000179639,ENSG00000136250,ENSG00000133816,ENSG00000143537,ENSG00000008394,ENSG00000109743,ENSG00000104998,ENSG00000085265,ENSG00000119535,ENSG00000069974,ENSG00000167207,ENSG00000153823,ENSG00000160789,ENSG00000158473,ENSG00000131724,ENSG00000142405,ENSG00000014914,ENSG00000141505,ENSG00000104918,ENSG00000136689,ENSG00000125538,ENSG00000177575,ENSG00000161638,ENSG00000135046,ENSG00000153234,ENSG00000163220,ENSG00000170458,ENSG00000123405,ENSG00000059804,ENSG00000135218
